"","X_type","url","date","rawContent","renderedContent","id","replyCount","retweetCount","likeCount","quoteCount","conversationId","lang","source_url","nofollow","source_device","sourceLabel","retweetedTweet","inReplyToTweetId","longitude","latitude","hashtags","cashtags","viewCount","vibe"
"11","snscrape.modules.twitter.Tweet","https://twitter.com/FastFashion55/status/1621584499997028352","2023-02-03 19:00:47+00:00","Only V https://t.co/1IZ5C5mdq5","Only V https://t.co/1IZ5C5mdq5",1621584499997028352,0,0,0,0,1621584499997028352,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,5,NA
"12","snscrape.modules.twitter.Tweet","https://twitter.com/FastFashion55/status/1621583993320923136","2023-02-03 18:58:46+00:00","V in black dress https://t.co/viwEiYa8iS","V in black dress https://t.co/viwEiYa8iS",1621583993320923136,0,0,0,0,1621583993320923136,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,4,NA
"13","snscrape.modules.twitter.Tweet","https://twitter.com/FastFashion55/status/1621583902182895616","2023-02-03 18:58:24+00:00","My favorite singer is V https://t.co/r3PoTwm7UM","My favorite singer is V https://t.co/r3PoTwm7UM",1621583902182895616,0,0,0,0,1621583902182895616,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,3,NA
"14","snscrape.modules.twitter.Tweet","https://twitter.com/NewSchoolBeer/status/1621583202895937537","2023-02-03 18:55:37+00:00","Seattle's Fast Fashion Beer and @TheMasonryPizza founder in Portland for a pizza collaboration meet-the-maker event next week https://t.co/GCeuSSHtWl

#pizzathief #pdxpizza #pdxeats #fastfashionbeer #inpdx #pdxevents #pdxbeergeeks #pdxbeer https://t.co/ZsOzMPr1Kc","Seattle's Fast Fashion Beer and @TheMasonryPizza founder in Portland for a pizza collaboration meet-the-maker event next week newschoolbeer.com/home/2023/2/fa…

#pizzathief #pdxpizza #pdxeats #fastfashionbeer #inpdx #pdxevents #pdxbeergeeks #pdxbeer https://t.co/ZsOzMPr1Kc",1621583202895937536,0,1,0,0,1621583202895937536,"en","https://about.twitter.com/products/tweetdeck","nofollow","TweetDeck","TweetDeck",NA,NA,NA,NA,"['pizzathief', 'pdxpizza', 'pdxeats', 'fastfashionbeer', 'inpdx', 'pdxevents', 'pdxbeergeeks', 'pdxbeer']",NA,122,NA
"15","snscrape.modules.twitter.Tweet","https://twitter.com/PlhsWave/status/1621582537440071680","2023-02-03 18:52:59+00:00","Hey, Lakers! Because we know you care about the world, read ""Fast fashion is a bad bad thing"" https://t.co/7a0LAUdFDy via @Plhswave","Hey, Lakers! Because we know you care about the world, read ""Fast fashion is a bad bad thing"" plhswave.org/?p=3824 via @Plhswave",1621582537440071680,0,0,0,0,1621582537440071680,"en","https://mobile.twitter.com","nofollow","Twitter Web App","Twitter Web App",NA,NA,NA,NA,NA,NA,1,NA
"16","snscrape.modules.twitter.Tweet","https://twitter.com/DrPsycOut/status/1621581758130180096","2023-02-03 18:49:53+00:00","This is what I’m talking about!! …aside from the “fast fashion” endorsement.

Chad #Ochocinco Johnson saved 83% of his salary by flying Spirit Airlines and wearing fake jewelry. https://t.co/mZp1x0dt6G

#Savings #FinancialHealth #NoBranding #Values #ClothesThatLast","This is what I’m talking about!! …aside from the “fast fashion” endorsement.

Chad #Ochocinco Johnson saved 83% of his salary by flying Spirit Airlines and wearing fake jewelry. youtu.be/qPfi2gKQd_w

#Savings #FinancialHealth #NoBranding #Values #ClothesThatLast",1621581758130179840,1,0,0,0,1621581758130179840,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,"['Ochocinco', 'Savings', 'FinancialHealth', 'NoBranding', 'Values', 'ClothesThatLast']",NA,48,NA
"17","snscrape.modules.twitter.Tweet","https://twitter.com/FastFashion55/status/1621581490130923520","2023-02-03 18:48:49+00:00","He is A lagend https://t.co/iHHyg8CtoV","He is A lagend https://t.co/iHHyg8CtoV",1621581490130923520,0,0,0,0,1621581490130923520,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,3,NA
"18","snscrape.modules.twitter.Tweet","https://twitter.com/styleethic/status/1621581418701922304","2023-02-03 18:48:32+00:00","People who describe themselves as socialists and allies, and then Stansly defend their right to shop fast fashion","People who describe themselves as socialists and allies, and then Stansly defend their right to shop fast fashion",1621581418701922560,0,0,1,0,1621581418701922560,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,161,NA
"19","snscrape.modules.twitter.Tweet","https://twitter.com/AAnlyan/status/1621579091026534402","2023-02-03 18:39:17+00:00","@RepSwalwell 
I am American patriot, not in the slick, fast, talking Republican fashion, where they use the word to justify anything they want to do, but in the true fashion in which I support democracy and equality.
Thank you for standing strong against Republican abuse.","@RepSwalwell 
I am American patriot, not in the slick, fast, talking Republican fashion, where they use the word to justify anything they want to do, but in the true fashion in which I support democracy and equality.
Thank you for standing strong against Republican abuse.",1621579091026534400,0,0,0,0,1621579091026534400,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,2,NA
"20","snscrape.modules.twitter.Tweet","https://twitter.com/olori_sola/status/1621568918207725572","2023-02-03 17:58:52+00:00","Y’all need to stop dragging people for wearing fast fashion!!!!!! 
It is our only choice for some of us 😭","Y’all need to stop dragging people for wearing fast fashion!!!!!! 
It is our only choice for some of us 😭",1621568918207725568,1,0,0,0,1621568918207725568,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,220,NA
